StuffKey,StuffCode,StuffName,BrandProductTitle,GroupProductTitle,ProductCode,StockGroupTitle,StockRoomTitle,ClassNameL1,ClassNameL2
32758,837121050,لوله فاضلابی پوشفیت یکسرسوکت  50-150 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,121050,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-150
32759,837121063,لوله فاضلابی پوشفیت یکسرسوکت 63-150 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,121063,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-150
32760,837121075,لوله فاضلابی پوشفیت یکسرسوکت 75-150 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,121075,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-150
32761,837121090,لوله فاضلابی پوشفیت یکسرسوکت 90-150 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,121090,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-150
32762,837121110,لوله فاضلابی پوشفیت یکسرسوکت 110-150 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,121110,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-150
32763,837141050,لوله فاضلابی پوشفیت یکسرسوکت 50-250 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,141050,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-250
32764,837141063,لوله فاضلابی پوشفیت یکسرسوکت 63-250 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,141063,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-250
32765,837141075,لوله فاضلابی پوشفیت یکسرسوکت 75-250  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,141075,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-250
32766,837141090,لوله فاضلابی پوشفیت یکسرسوکت 90-250 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,141090,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-250
32767,837141110,لوله فاضلابی پوشفیت یکسرسوکت 110-250 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,141110,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-250
32768,837141125,لوله فاضلابی پوشفیت یکسرسوکت 125-250  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,141125,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-250
32769,837141160,لوله فاضلابی پوشفیت یکسرسوکت 160-250  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,141160,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-250
32770,837161050,لوله فاضلابی پوشفیت یکسرسوکت 50-500 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,161050,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-500
32771,837161063,لوله فاضلابی پوشفیت یکسرسوکت 63-500  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,161063,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-500
32772,837161075,لوله فاضلابی پوشفیت یکسرسوکت 75-500  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,161075,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-500
32773,837161090,لوله فاضلابی پوشفیت یکسرسوکت 90-500  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,161090,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-500
32774,837161110,لوله فاضلابی پوشفیت یکسرسوکت 110-500  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,161110,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-500
32775,837161125,لوله فاضلابی پوشفیت یکسرسوکت 125-500  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,161125,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-500
32776,837161160,لوله فاضلابی پوشفیت یکسرسوکت 160-500 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,161160,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-500
32777,837162050,لوله فاضلابی پوشفیت دوسرسوکت 50-500 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,162050,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-500
32778,837162063,لوله فاضلابی پوشفیت دوسرسوکت 63-500  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,162063,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-500
32779,837162075,لوله فاضلابی پوشفیت دوسرسوکت 75-500  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,162075,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-500
32780,837162090,لوله فاضلابی پوشفیت دوسرسوکت 90-500  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,162090,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-500
32781,837162110,لوله فاضلابی پوشفیت دوسرسوکت 110-500  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,162110,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-500
32782,837162125,لوله فاضلابی پوشفیت دوسرسوکت 125-500  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,162125,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-500
32783,837162160,لوله فاضلابی پوشفیت دوسرسوکت 160-500  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,162160,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-500
32784,837181050,لوله فاضلابی پوشفیت یکسرسوکت 50-1000 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,181050,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-1000
32785,837181063,لوله فاضلابی پوشفیت یکسرسوکت 63-1000  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,181063,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-1000
32786,837181075,لوله فاضلابی پوشفیت یکسرسوکت 75-1000  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,181075,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-1000
32787,837181090,لوله فاضلابی پوشفیت یکسرسوکت 90-1000  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,181090,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-1000
32788,837181110,لوله فاضلابی پوشفیت یکسرسوکت 110-1000  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,181110,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-1000
32789,837181125,لوله فاضلابی پوشفیت یکسرسوکت 125-1000  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,181125,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-1000
32790,837181160,لوله فاضلابی پوشفیت یکسرسوکت 160-1000  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,181160,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-1000
32791,837182050,لوله فاضلابی پوشفیت دوسرسوکت 50-1000 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,182050,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-1000
32792,837182063,لوله فاضلابی پوشفیت دوسرسوکت 63-1000  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,182063,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-1000
32793,837182075,لوله فاضلابی پوشفیت دوسرسوکت 75-1000 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,182075,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-1000
32794,837182090,لوله فاضلابی پوشفیت دوسرسوکت 90-1000  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,182090,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-1000
32795,837182110,لوله فاضلابی پوشفیت دوسرسوکت 110-1000 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,182110,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-1000
32796,837182125,لوله فاضلابی پوشفیت دوسرسوکت 125-1000  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,182125,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-1000
32797,837182160,لوله فاضلابی پوشفیت دوسرسوکت 160-1000 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,182160,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-1000
32798,837201050,لوله فاضلابی پوشفیت یکسرسوکت 50-2000 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,201050,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-2000
32799,837201063,لوله فاضلابی پوشفیت یکسرسوکت 63-2000 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,201063,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-2000
32800,837201075,لوله فاضلابی پوشفیت یکسرسوکت 75-2000 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,201075,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-2000
32801,837201090,لوله فاضلابی پوشفیت یکسرسوکت 90-2000 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,201090,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-2000
32802,837201110,لوله فاضلابی پوشفیت یکسرسوکت 110-2000  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,201110,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-2000
32803,837201125,لوله فاضلابی پوشفیت یکسرسوکت 125-2000 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,201125,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-2000
32804,837201160,لوله فاضلابی پوشفیت یکسرسوکت 160-2000  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,201160,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-2000
32805,837202050,لوله فاضلابی پوشفیت دوسرسوکت 50-2000 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,202050,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-2000
32806,837202063,لوله فاضلابی پوشفیت دوسرسوکت 63-2000 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,202063,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-2000
32807,837202075,لوله فاضلابی پوشفیت دوسرسوکت 75-2000  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,202075,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-2000
32808,837202090,لوله فاضلابی پوشفیت دوسرسوکت 90-2000  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,202090,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-2000
32809,837202110,لوله فاضلابی پوشفیت دوسرسوکت 110-2000 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,202110,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-2000
32810,837202125,لوله فاضلابی پوشفیت دوسرسوکت 125-2000 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,202125,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-2000
32811,837202160,لوله فاضلابی پوشفیت دوسرسوکت 160-2000  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,202160,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-2000
32812,837221050,لوله فاضلابی پوشفیت یکسرسوکت 50-3000 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,221050,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-3000
32813,837221063,لوله فاضلابی پوشفیت یکسرسوکت 63-3000  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,221063,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-3000
32814,837221075,لوله فاضلابی پوشفیت یکسرسوکت 75-3000 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,221075,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-3000
32815,837221090,لوله فاضلابی پوشفیت یکسرسوکت 90-3000  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,221090,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-3000
32816,837221110,لوله فاضلابی پوشفیت یکسرسوکت 110-3000 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,221110,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-3000
32817,837221125,لوله فاضلابی پوشفیت یکسرسوکت 125-3000 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,221125,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-3000
32818,837221160,لوله فاضلابی پوشفیت یکسرسوکت 160-3000  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,221160,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-3000
32819,837222050,لوله فاضلابی پوشفیت دوسرسوکت 50-3000 گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,222050,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-3000
32820,837222063,لوله فاضلابی پوشفیت دوسرسوکت 63-3000  گروه B,نیوفلکس,لوله و اتصالات فاضلابی پوش فیت,222063,"بسته لوله نیوفلکس
",محصولات فوم,لوله های فاضلابی پلی پروپیلن,لوله فاضلابی پلی پروپیلن B-3000
