mold_name,size,cavity,mold_number,gray_behco,silent_behco,cycle
زانو 45 درجه,50,2,230245.1,855361502,855361602,75
زانو 45 درجه,50,8,230245.2,855361502,855361602,75
زانو 87 درجه,50,2,230287.1,855361506,855361606,83
زانو 87 درجه,50,8,230287.2,855361506,855361606,83
زانو 45 درجه,63,2,230345.1,,855361510,52
زانو 45 درجه,63,2,230345.2,,855361510,52
زانو 87 درجه,63,2,230387.1,,855361514,60
زانو 87 درجه,63,4,230387.2,,855361514,60
زانو 45 درجه,75,8,230445.2,855361518,855361618,85
زانو 87 درجه,75,2,230447.1,855361522,855361622,75
زانو 45 درجه,90,2,230545.1,,855361526,78
زانو 87 درجه,90,2,230587.1,,855361530,95
زانو 45 درجه,110,1,230645.1,855361534,855361634,175
زانو 45 درجه,110,2,230645.2,855361534,855361634,175
زانو 45 درجه,110,8,230645.3,855361534,855361634,175
زانو 87 درجه,110,1,230687.2,855361538,855361638,87
زانو 45 درجه,125,1,230745.1,855361542,855361642,90
زانو 87 درجه,125,1,230787.1,855361546,855361646,115
زانو 45 درجه,160,1,230845.1,855361550,855361650,118
زانو 87 درجه,160,1,230887.1,855361554,855361654,117
سه راه 45 درجه,50,2,242220.1,855362102,855362202,65
سه راه 45 درجه,50,2,242220.2,855362102,855362202,65
سه راه 87 درجه,50,2,240220.2,855361902,855362002,78
سه راه 87 درجه,50,2,240220.3,855361902,855362002,78
سه راه 45 درجه,63,1,242330.1,,855362110,84
سه راه 45 درجه,63,2,242330.2,,855362110,84
سه راه 87 درجه,63,2,240330.1,,855361910,67
سه راه 45 درجه,75,2,242440.1,855362118,855362218,93
سه راه 45 درجه,75,2,242440.2,855362118,855362218,93
سه راه 45 درجه,75,2,242440.3,855362118,855362218,93
سه راه 87 درجه,75,2,240440.1,855361922,855362022,63
سه راه 87 درجه,75,1,240440.2,855361922,855362022,63
سه راه 45 درجه,90,1,242550.1,,855362126,80
سه راه 87 درجه,90,1,240550.1,,855361934,70
سه راه 45 درجه,110,1,242660.2,855362146,855362246,95
سه راه 45 درجه,110,1,242660.3,855362146,855362246,95
سه راه 87 درجه,110,1,240660.1,855361950,855362050,115
سه راه 45 درجه,125,1,242770.1,855362154,855362254,125
سه راه 87 درجه,125,1,240770.1,855361958,855362058,112
سه راه 45 درجه,160,1,242880.1,855362166,855362266,180
سه راه 87 درجه,160,1,240880.1,855361970,855362070,145
سه راه 45 درجه,63*50,2,242320.1,,855362106,70
سه راه 87 درجه,63*50,2,240320.2,,855361906,90
سه راه 87 درجه,63*50,2,240320.1,,855361906,90
سه راه 45 درجه,75*50,2,242420.1,855362114,855362214,72
سه راه 87 درجه,75*50,2,240420.1,855361914,855362014,75
سه راه 87 درجه,75*63,2,240430.1,,855361918,75
سه راه 45 درجه,90*63,1,242530.1,,855362122,88
سه راه 87 درجه,90*63,1,240530.1,,855361926,90
سه راه 45 درجه,110*50,1,242620.1,855362130,855362230,85
سه راه 87 درجه,110*50,1,240620.1,855361938,855362038,90
سه راه 87 درجه,110*50,1,240620.2,855361938,855362038,90
سه راه 45 درجه,110*63,1,242630.1,,855362134,93
سه راه 87 درجه,110*63,1,240630.1,,855361942,85
سه راه 45 درجه,110*75,1,242640.1,855362138,855362238,98
سه راه 45 درجه,110*75,1,242640.2,855362138,855362238,98
سه راه 45 درجه,110*90,1,242650.1,,855362142,105
سه راه 87 درجه,110*90,1,240650.1,,855361946,100
سه راه 45 درجه,125*110,1,242760.1,855362150,855362250,100
سه راه 87 درجه,125*110,1,240760.1,855361954,855362054,120
سه راه 45 درجه,160*110,1,242860.1,855362158,855362258,145
سه راه 87 درجه,160*110,1,240860.1,855361962,855362062,115
سه راه 45 درجه,160*125,1,242870.1,855362162,855362262,120
سه راه 87 درجه,160*125,1,240870.1,855361966,855362066,121
سوکت,50,2,220200.2,855361102,855361202,70
سوکت,63,1,220300.1,,855361106,50
سوکت,75,2,220400.1,855361110,855361210,72
سوکت,90,1,220500.1,,855361114,65
سوکت,110,1,220600.1,855361118,855361218,90
سوکت,125,1,220700.1,855361122,855361222,82
سوکت,160,1,220800.1,855361126,855361226,140
کاهنده,63*50,2,226320.2,,855361342,53
کاهنده,63*75,2,226430.1,,855361350,63
کاهنده,75*50,2,226420.2,855361346,855361446,72
کاهنده,90*63,2,226530.1,,855361354,90
کاهنده,110*50,2,226620.1,855361358,855361458,60
کاهنده,110*63,1,226630.1,,855361362,85
کاهنده,110*75,2,226640.1,855361366,855361466,100
کاهنده,110*90,1,226650.1,,855361370,105
کاهنده,125*110,1,226760.1,855361374,855361474,95
کاهنده,160*110,1,226860.1,855361378,855361478,115
کاهنده,160*125,1,226870.1,855361382,855361482,115
پوسته دریچه بازدید,125,1,265700.1,855362514,855362610,90
پوسته دریچه بازدید,160,1,265800.1,855362518,855362614,125
پوسته دریچه بازدید,75,2,265400.1,855362502,855362602,90
