StuffCode,StuffName
837121050,لوله فاضلابی پوشفیت یکسرسوکت  50-150 گروه B
837121063,لوله فاضلابی پوشفیت یکسرسوکت 63-150 گروه B
837121075,لوله فاضلابی پوشفیت یکسرسوکت 75-150 گروه B
837121090,لوله فاضلابی پوشفیت یکسرسوکت 90-150 گروه B
837121110,لوله فاضلابی پوشفیت یکسرسوکت 110-150 گروه B
837141050,لوله فاضلابی پوشفیت یکسرسوکت 50-250 گروه B
837141063,لوله فاضلابی پوشفیت یکسرسوکت 63-250 گروه B
837141075,لوله فاضلابی پوشفیت یکسرسوکت 75-250  گروه B
837141090,لوله فاضلابی پوشفیت یکسرسوکت 90-250 گروه B
837141110,لوله فاضلابی پوشفیت یکسرسوکت 110-250 گروه B
837141125,لوله فاضلابی پوشفیت یکسرسوکت 125-250  گروه B
837141160,لوله فاضلابی پوشفیت یکسرسوکت 160-250  گروه B
837161050,لوله فاضلابی پوشفیت یکسرسوکت 50-500 گروه B
837161063,لوله فاضلابی پوشفیت یکسرسوکت 63-500  گروه B
837161075,لوله فاضلابی پوشفیت یکسرسوکت 75-500  گروه B
837161090,لوله فاضلابی پوشفیت یکسرسوکت 90-500  گروه B
837161110,لوله فاضلابی پوشفیت یکسرسوکت 110-500  گروه B
837161125,لوله فاضلابی پوشفیت یکسرسوکت 125-500  گروه B
837161160,لوله فاضلابی پوشفیت یکسرسوکت 160-500 گروه B
837162050,لوله فاضلابی پوشفیت دوسرسوکت 50-500 گروه B
837162063,لوله فاضلابی پوشفیت دوسرسوکت 63-500  گروه B
837162075,لوله فاضلابی پوشفیت دوسرسوکت 75-500  گروه B
837162090,لوله فاضلابی پوشفیت دوسرسوکت 90-500  گروه B
837162110,لوله فاضلابی پوشفیت دوسرسوکت 110-500  گروه B
837162125,لوله فاضلابی پوشفیت دوسرسوکت 125-500  گروه B
837162160,لوله فاضلابی پوشفیت دوسرسوکت 160-500  گروه B
837181050,لوله فاضلابی پوشفیت یکسرسوکت 50-1000 گروه B
837181063,لوله فاضلابی پوشفیت یکسرسوکت 63-1000  گروه B
837181075,لوله فاضلابی پوشفیت یکسرسوکت 75-1000  گروه B
837181090,لوله فاضلابی پوشفیت یکسرسوکت 90-1000  گروه B
837181110,لوله فاضلابی پوشفیت یکسرسوکت 110-1000  گروه B
837181125,لوله فاضلابی پوشفیت یکسرسوکت 125-1000  گروه B
837181160,لوله فاضلابی پوشفیت یکسرسوکت 160-1000  گروه B
837182050,لوله فاضلابی پوشفیت دوسرسوکت 50-1000 گروه B
837182063,لوله فاضلابی پوشفیت دوسرسوکت 63-1000  گروه B
837182075,لوله فاضلابی پوشفیت دوسرسوکت 75-1000 گروه B
837182090,لوله فاضلابی پوشفیت دوسرسوکت 90-1000  گروه B
837182110,لوله فاضلابی پوشفیت دوسرسوکت 110-1000 گروه B
837182125,لوله فاضلابی پوشفیت دوسرسوکت 125-1000  گروه B
837182160,لوله فاضلابی پوشفیت دوسرسوکت 160-1000 گروه B
837201050,لوله فاضلابی پوشفیت یکسرسوکت 50-2000 گروه B
837201063,لوله فاضلابی پوشفیت یکسرسوکت 63-2000 گروه B
837201075,لوله فاضلابی پوشفیت یکسرسوکت 75-2000 گروه B
837201090,لوله فاضلابی پوشفیت یکسرسوکت 90-2000 گروه B
837201110,لوله فاضلابی پوشفیت یکسرسوکت 110-2000  گروه B
837201125,لوله فاضلابی پوشفیت یکسرسوکت 125-2000 گروه B
837201160,لوله فاضلابی پوشفیت یکسرسوکت 160-2000  گروه B
837202050,لوله فاضلابی پوشفیت دوسرسوکت 50-2000 گروه B
837202063,لوله فاضلابی پوشفیت دوسرسوکت 63-2000 گروه B
837202075,لوله فاضلابی پوشفیت دوسرسوکت 75-2000  گروه B
837202090,لوله فاضلابی پوشفیت دوسرسوکت 90-2000  گروه B
837202110,لوله فاضلابی پوشفیت دوسرسوکت 110-2000 گروه B
837202125,لوله فاضلابی پوشفیت دوسرسوکت 125-2000 گروه B
837202160,لوله فاضلابی پوشفیت دوسرسوکت 160-2000  گروه B
837221050,لوله فاضلابی پوشفیت یکسرسوکت 50-3000 گروه B
837221063,لوله فاضلابی پوشفیت یکسرسوکت 63-3000  گروه B
837221075,لوله فاضلابی پوشفیت یکسرسوکت 75-3000 گروه B
837221090,لوله فاضلابی پوشفیت یکسرسوکت 90-3000  گروه B
837221110,لوله فاضلابی پوشفیت یکسرسوکت 110-3000 گروه B
837221125,لوله فاضلابی پوشفیت یکسرسوکت 125-3000 گروه B
837221160,لوله فاضلابی پوشفیت یکسرسوکت 160-3000  گروه B
837222050,لوله فاضلابی پوشفیت دوسرسوکت 50-3000 گروه B
837222063,لوله فاضلابی پوشفیت دوسرسوکت 63-3000  گروه B
837222075,لوله فاضلابی پوشفیت دوسرسوکت 75-3000  گروه B
837222090,لوله فاضلابی پوشفیت دوسرسوکت 90-3000 گروه B
837222110,لوله فاضلابی پوشفیت دوسرسوکت 110-3000 گروه B
837222125,لوله فاضلابی پوشفیت دوسرسوکت 125-3000  گروه B
837222160,لوله فاضلابی پوشفیت دوسرسوکت 160-3000  گروه B
837241110,لوله فاضلابی پوشفیت یکسرسوکت 110-5000  گروه B
837242110,لوله فاضلابی پوشفیت دوسرسوکت 110-5000 گروه B
837261050,لوله فاضلابی پوشفیت یکسرسوکت 50-150 گروه BD
837261063,لوله فاضلابی پوشفیت یکسرسوکت 63-150 گروه BD
837261075,لوله فاضلابی پوشفیت یکسرسوکت 75-150 گروه BD
837261090,لوله فاضلابی پوشفیت یکسرسوکت 90-150 گروه BD
837261110,لوله فاضلابی پوشفیت یکسرسوکت 110-150 گروه BD
837281050,لوله فاضلابی پوشفیت یکسرسوکت 50-250 گروه BD
837281063,لوله فاضلابی پوشفیت یکسرسوکت 63-250 گروه BD
837281075,لوله فاضلابی پوشفیت یکسرسوکت 75-250 گروه BD
837281090,لوله فاضلابی پوشفیت یکسرسوکت 90-250 گروه BD
837281110,لوله فاضلابی پوشفیت یکسرسوکت 110-250 گروه BD
837281125,لوله فاضلابی پوشفیت یکسرسوکت 125-250 گروه BD
837281160,لوله فاضلابی پوشفیت یکسرسوکت 160-250 گروه BD
837301050,لوله فاضلابی پوشفیت یکسرسوکت 50-500 گروه BD
837301063,لوله فاضلابی پوشفیت یکسرسوکت 63-500 گروه BD
837301075,لوله فاضلابی پوشفیت یکسرسوکت 75-500 گروه BD
837301090,لوله فاضلابی پوشفیت یکسرسوکت 90-500 گروه BD
837301110,لوله فاضلابی پوشفیت یکسرسوکت 110-500 گروه BD
837301125,لوله فاضلابی پوشفیت یکسرسوکت 125-500 گروه BD
837301160,لوله فاضلابی پوشفیت یکسرسوکت 160-500 گروه BD
837302050,لوله فاضلابی پوشفیت دوسرسوکت 50-500 گروه BD
837302063,لوله فاضلابی پوشفیت دوسرسوکت 63-500 گروه BD
837302075,لوله فاضلابی پوشفیت دوسرسوکت 75-500 گروه BD
837302090,لوله فاضلابی پوشفیت دوسرسوکت 90-500 گروه BD
837302110,لوله فاضلابی پوشفیت دوسرسوکت 110-500 گروه BD
837302125,لوله فاضلابی پوشفیت دوسرسوکت 125-500 گروه BD
837302160,لوله فاضلابی پوشفیت دوسرسوکت 160-500 گروه BD
837321050,لوله فاضلابی پوشفیت یکسرسوکت 50-1000 گروه BD
837321063,لوله فاضلابی پوشفیت یکسرسوکت 63-1000 گروه BD
837321075,لوله فاضلابی پوشفیت یکسرسوکت 75-1000 گروه BD
837321090,لوله فاضلابی پوشفیت یکسرسوکت 90-1000 گروه BD
837321110,لوله فاضلابی پوشفیت یکسرسوکت 110-1000 گروه BD
837321125,لوله فاضلابی پوشفیت یکسرسوکت 125-1000 گروه BD
837321160,لوله فاضلابی پوشفیت یکسرسوکت 160-1000 گروه BD
837322050,لوله فاضلابی پوشفیت دوسرسوکت 50-1000 گروه BD
837322063,لوله فاضلابی پوشفیت دوسرسوکت 63-1000 گروه BD
837322075,لوله فاضلابی پوشفیت دوسرسوکت 75-1000 گروه BD
837322090,لوله فاضلابی پوشفیت دوسرسوکت 90-1000 گروه BD
837322110,لوله فاضلابی پوشفیت دوسرسوکت 110-1000 گروه BD
837322125,لوله فاضلابی پوشفیت دوسرسوکت 125-1000 گروه BD
837322160,لوله فاضلابی پوشفیت دوسرسوکت 160-1000 گروه BD
837341050,لوله فاضلابی پوشفیت یکسرسوکت 50-2000 گروه BD
837341063,لوله فاضلابی پوشفیت یکسرسوکت 63-2000 گروه BD
837341075,لوله فاضلابی پوشفیت یکسرسوکت 75-2000 گروه BD
837341090,لوله فاضلابی پوشفیت یکسرسوکت 90-2000 گروه BD
837341110,لوله فاضلابی پوشفیت یکسرسوکت 110-2000 گروه BD
837341125,لوله فاضلابی پوشفیت یکسرسوکت 125-2000 گروه BD
837341160,لوله فاضلابی پوشفیت یکسرسوکت 160-2000 گروه BD
837342050,لوله فاضلابی پوشفیت دوسرسوکت 50-2000 گروه BD
837342063,لوله فاضلابی پوشفیت دوسرسوکت 63-2000 گروه BD
837342075,لوله فاضلابی پوشفیت دوسرسوکت 75-2000 گروه BD
837342090,لوله فاضلابی پوشفیت دوسرسوکت 90-2000 گروه BD
837342110,لوله فاضلابی پوشفیت دوسرسوکت 110-2000 گروه BD
837342125,لوله فاضلابی پوشفیت دوسرسوکت 125-2000 گروه BD
837342160,لوله فاضلابی پوشفیت دوسرسوکت 160-2000 گروه BD
837361050,لوله فاضلابی پوشفیت یکسرسوکت 50-3000 گروه BD
837361063,لوله فاضلابی پوشفیت یکسرسوکت 63-3000 گروه BD
837361075,لوله فاضلابی پوشفیت یکسرسوکت 75-3000 گروه BD
837361090,لوله فاضلابی پوشفیت یکسرسوکت 90-3000 گروه BD
837361110,لوله فاضلابی پوشفیت یکسرسوکت 110-3000 گروه BD
837361125,لوله فاضلابی پوشفیت یکسرسوکت 125-3000 گروه BD
837361160,لوله فاضلابی پوشفیت یکسرسوکت 160-3000 گروه BD
837362050,لوله فاضلابی پوشفیت دوسرسوکت 50-3000 گروه BD
837362063,لوله فاضلابی پوشفیت دوسرسوکت 63-3000 گروه BD
837362075,لوله فاضلابی پوشفیت دوسرسوکت 75-3000 گروه BD
837362090,لوله فاضلابی پوشفیت دوسرسوکت 90-3000 گروه BD
837362110,لوله فاضلابی پوشفیت دوسرسوکت 110-3000 گروه BD
837362125,لوله فاضلابی پوشفیت دوسرسوکت 125-3000 گروه BD
837362160,لوله فاضلابی پوشفیت دوسرسوکت 160-3000 گروه BD
837381110,لوله فاضلابی پوشفیت یکسرسوکت 110-5000 گروه BD
837382110,لوله فاضلابی پوشفیت دوسرسوکت 110-5000 گروه BD
837401050,لوله فاضلابی پوشفیت یکسرسوکت سایلنت  50-150
837401075,لوله فاضلابی پوشفیت یکسرسوکت سایلنت  75-150
837401110,لوله فاضلابی پوشفیت یکسرسوکت سایلنت  110-150
837421050,لوله فاضلابی پوشفیت یکسرسوکت سایلنت  50-250
837421075,لوله فاضلابی پوشفیت یکسرسوکت سایلنت  75-250
837421110,لوله فاضلابی پوشفیت یکسرسوکت سایلنت  110-250
837421125,لوله فاضلابی پوشفیت یکسرسوکت سایلنت  125-250
837421160,لوله فاضلابی پوشفیت یکسرسوکت سایلنت  160-250
837441050,لوله فاضلابی پوشفیت یکسرسوکت سایلنت  50-500
837441075,لوله فاضلابی پوشفیت یکسرسوکت سایلنت  75-500
837441110,لوله فاضلابی پوشفیت یکسرسوکت سایلنت  110-500
837441125,لوله فاضلابی پوشفیت یکسرسوکت سایلنت  125-500
837441160,لوله فاضلابی پوشفیت یکسرسوکت سایلنت  160-500
837442050,لوله فاضلابی پوشفیت دوسرسوکت سایلنت  50-500
837442075,لوله فاضلابی پوشفیت دوسرسوکت سایلنت  75-500
837442110,لوله فاضلابی پوشفیت دوسرسوکت سایلنت  110-500
837442125,لوله فاضلابی پوشفیت دوسرسوکت سایلنت  125-500
837442160,لوله فاضلابی پوشفیت دوسرسوکت سایلنت  160-500
837461050,لوله فاضلابی پوشفیت یکسرسوکت سایلنت  50-1000
837461075,لوله فاضلابی پوشفیت یکسرسوکت سایلنت  75-1000
837461110,لوله فاضلابی پوشفیت یکسرسوکت سایلنت  110-1000
837461125,لوله فاضلابی پوشفیت یکسرسوکت سایلنت  125-1000
837461160,لوله فاضلابی پوشفیت یکسرسوکت سایلنت  160-1000
837462050,لوله فاضلابی پوشفیت دوسرسوکت سایلنت  50-1000
837462075,لوله فاضلابی پوشفیت دوسرسوکت سایلنت  75-1000
837462110,لوله فاضلابی پوشفیت دوسرسوکت سایلنت  110-1000
837462125,لوله فاضلابی پوشفیت دوسرسوکت سایلنت  125-1000
837462160,لوله فاضلابی پوشفیت دوسرسوکت سایلنت  160-1000
837481050,لوله فاضلابی پوشفیت یکسرسوکت سایلنت  50-2000
837481075,لوله فاضلابی پوشفیت یکسرسوکت سایلنت  75-2000
837481110,لوله فاضلابی پوشفیت یکسرسوکت سایلنت  110-2000
837481125,لوله فاضلابی پوشفیت یکسرسوکت سایلنت  125-2000
837481160,لوله فاضلابی پوشفیت یکسرسوکت سایلنت  160-2000
837482050,لوله فاضلابی پوشفیت دوسرسوکت سایلنت  50-2000
837482075,لوله فاضلابی پوشفیت دوسرسوکت سایلنت  75-2000
837482110,لوله فاضلابی پوشفیت دوسرسوکت سایلنت  110-2000
837482125,لوله فاضلابی پوشفیت دوسرسوکت سایلنت  125-2000
837482160,لوله فاضلابی پوشفیت دوسرسوکت سایلنت  160-2000
837501050,لوله فاضلابی پوشفیت یکسرسوکت سایلنت 50-3000
837501075,لوله فاضلابی پوشفیت یکسرسوکت سایلنت  75-3000
837501110,لوله فاضلابی پوشفیت یکسرسوکت سایلنت  110-3000
837501125,لوله فاضلابی پوشفیت یکسرسوکت سایلنت  125-3000
837501160,لوله فاضلابی پوشفیت یکسرسوکت سایلنت  160-3000
837502050,لوله فاضلابی پوشفیت دوسرسوکت سایلنت  50-3000
837502075,لوله فاضلابی پوشفیت دوسرسوکت سایلنت  75-3000
837502110,لوله فاضلابی پوشفیت دوسرسوکت سایلنت  110-3000
837502125,لوله فاضلابی پوشفیت دوسرسوکت سایلنت  125-3000
837502160,لوله فاضلابی پوشفیت دوسرسوکت سایلنت  160-3000
855361102,بوشن پوشفیت 50mm
855361106,بوشن پوشفیت 63mm
855361110,بوشن پوشفیت 75mm
855361114,بوشن پوشفیت 90mm
855361118,بوشن پوشفیت 110mm
855361122,بوشن پوشفیت 125mm
855361126,بوشن پوشفیت 160mm
855361202,بوشن پوشفیت سایلنت 50mm
855361210,بوشن پوشفیت سایلنت 75mm
855361218,بوشن پوشفیت سایلنت 110mm
855361222,بوشن پوشفیت سایلنت 125mm
855361226,بوشن پوشفیت سایلنت 160mm
855361342,تبدیل پوشفیت خارج از مرکز 50x63mm
855361346,تبدیل پوشفیت خارج از مرکز 50x75mm
855361350,تبدیل پوشفیت خارج از مرکز 63x75mm
855361354,تبدیل پوشفیت خارج از مرکز 63x90mm
855361358,تبدیل پوشفیت خارج از مرکز 50x110mm
855361362,تبدیل پوشفیت خارج از مرکز 63x110mm
855361366,تبدیل پوشفیت خارج از مرکز 75x110mm
855361370,تبدیل پوشفیت خارج از مرکز 90x110mm
855361374,تبدیل پوشفیت خارج از مرکز 110x125mm
855361378,تبدیل پوشفیت خارج از مرکز 110x160mm
855361382,تبدیل پوشفیت خارج از مرکز 125x160mm
855361446,تبدیل پوشفیت سایلنت خارج از مرکز 50x75mm
855361458,تبدیل پوشفیت سایلنت خارج از مرکز 50x110mm
855361466,تبدیل پوشفیت سایلنت خارج از مرکز 75x110mm
855361474,تبدیل پوشفیت سایلنت خارج از مرکز 110x125mm
855361478,تبدیل پوشفیت سایلنت خارج از مرکز 110x160mm
855361482,تبدیل پوشفیت سایلنت خارج از مرکز 125x160mm
855361502,زانو پوشفیت 45 درجه 50mm
855361506,زانو پوشفیت 87 درجه 50mm
855361510,زانو پوشفیت 45 درجه 63mm
855361514,زانو پوشفیت 87 درجه 63mm
855361518,زانو پوشفیت 45 درجه 75mm
855361522,زانو پوشفیت 87 درجه 75mm
855361526,زانو پوشفیت 45 درجه 90mm
855361530,زانو پوشفیت 87 درجه 90mm
855361534,زانو پوشفیت 45 درجه 110mm
855361538,زانو پوشفیت 87 درجه 110mm
855361542,زانو پوشفیت 45 درجه 125mm
855361546,زانو پوشفیت 87 درجه 125mm
855361550,زانو پوشفیت 45 درجه 160mm
855361554,زانو پوشفیت 87 درجه 160mm
855361602,زانو پوشفیت سایلنت 45 درجه 50mm
855361606,زانو پوشفیت سایلنت 87 درجه 50mm
855361618,زانو پوشفیت سایلنت 45 درجه 75mm
855361622,زانو پوشفیت سایلنت 87 درجه 75mm
855361634,زانو پوشفیت سایلنت 45 درجه 110mm
855361638,زانو پوشفیت سایلنت 87 درجه 110mm
855361642,زانو پوشفیت سایلنت 45 درجه 125mm
855361646,زانو پوشفیت سایلنت 87 درجه 125mm
855361650,زانو پوشفیت سایلنت 45 درجه 160mm
855361654,زانو پوشفیت سایلنت 87 درجه 160mm
855361702,زانو پوشفیت 45 درجه ونت دار 63x50mm
855361706,زانو پوشفیت 87 درجه ونت دار63x50mm
855361710,زانو پوشفیت 45 درجه ونت دار 110x50mm
855361714,زانو پوشفیت 87 درجه ونت دار110x50mm
855361810,زانو پوشفیت سایلنت 45 درجه ونت دار 50x110mm
855361814,زانو پوشفیت سایلنت 87 درجه ونت دار 50x110mm
855361841,زانو پوشفیت 50mm جهت ارتباط با ظرفشوئی و ...
855361845,لاستیک ارتباطی 30x50mm فاضلاب ظرفشوئی و …
855361585,درپوش لاستیکی سایز  110mm
855361589,درپوش لاستیکی سایز  125mm
855361593,درپوش لاستیکی سایز  160mm
855361597,دریچه بازدید گرد فاضلابی
855361902,سه راهی پوشفیت 87 درجه 50mm
855361906,سه راهی پوشفیت 87 درجه 63x50mm
855361910,سه راهی پوشفیت 87 درجه 63mm
855361914,سه راهی پوشفیت 87 درجه 50x75mm
855361918,سه راهی پوشفیت 87 درجه 63x75mm
855361922,سه راهی پوشفیت 87 درجه 75mm
855361926,سه راهی پوشفیت 87 درجه 63x90mm
855361930,سه راهی پوشفیت 87 درجه 75x90mm
855361934,سه راهی پوشفیت 87 درجه 90mm
855361938,سه راهی پوشفیت 87 درجه 50x110mm
855361942,سه راهی پوشفیت 87 درجه 63x110mm
855361946,سه راهی پوشفیت 87 درجه 90x110mm
855361950,سه راهی پوشفیت 87 درجه 110mm
855361954,سه راهی پوشفیت 87 درجه 110x125mm
855361958,سه راهی پوشفیت 87 درجه 125mm
855361962,سه راهی پوشفیت 87 درجه 110x160mm
855361966,سه راهی پوشفیت 87 درجه 125x160mm
855361970,سه راهی پوشفیت 87 درجه 160mm
855362102,سه راهی پوشفیت 45 درجه 50mm
855362106,سه راهی پوشفیت 45 درجه 50x63mm
